,ticker,date,MV_pred,MV,close
451,RRGB,2016-06-14,1250573.47,729705.09,186.21714174549953
450,RRGB,2016-06-15,1230671.8,726293.34,181.60373481516757
449,RRGB,2016-06-16,1197908.33,713874.5700000001,179.11775222241306
448,RRGB,2016-06-17,1244014.12,694768.7699999999,181.92161048735886
447,RRGB,2016-06-20,1247654.74,716740.4400000001,182.9524218519975
446,RRGB,2016-06-21,1212489.52,716331.03,180.72649967317835
445,RRGB,2016-06-22,1240725.48,715375.74,182.342644296326
444,RRGB,2016-06-23,1222646.63,719469.84,179.45746687256764
443,RRGB,2016-06-24,1258969.73,704458.14,181.15632494893222
442,RRGB,2016-06-27,1191053.34,712919.28,179.48122030643802
441,RRGB,2016-06-28,1254670.3,692721.72,185.11086139790024
440,RRGB,2016-06-29,1249245.89,696815.8200000001,183.1798799131687
439,RRGB,2016-06-30,1222028.36,669248.88,181.85735401581846
438,RRGB,2016-07-01,1234448.78,649733.67,183.35883086318807
437,RRGB,2016-07-05,1241374.33,660651.2699999999,179.04570984602805
436,RRGB,2016-07-06,1265967.4,646867.7999999999,178.5709420992042
435,RRGB,2016-07-07,1245184.65,651917.1900000001,176.14893194602712
434,RRGB,2016-07-08,1244775.43,653827.7699999999,174.58692370869144
433,RRGB,2016-07-11,1223758.96,664335.96,173.07153133281955
432,RRGB,2016-07-12,1257848.81,679620.6,175.18114369707467
431,RRGB,2016-07-13,1259524.1,688491.15,177.1907353814188
430,RRGB,2016-07-14,1262697.19,686444.1,177.1781490445066
429,RRGB,2016-07-15,1264265.13,678665.3099999999,178.23109411999258
428,RRGB,2016-07-18,1237097.48,665018.3099999999,176.20994704091208
427,RRGB,2016-07-19,1263920.92,667884.1799999999,175.8093940106183
426,RRGB,2016-07-20,1249889.79,674025.33,175.4810161224742
425,RRGB,2016-07-21,1257039.73,671978.28,174.84227871261766
424,RRGB,2016-07-22,1248718.58,666383.01,173.43835933706094
423,RRGB,2016-07-25,1205428.99,682350.0,171.469543239829
422,RRGB,2016-07-26,1201138.79,667884.1799999999,171.22036486469594
421,RRGB,2016-07-27,1244621.78,655601.88,171.86767362308362
420,RRGB,2016-07-28,1236849.98,648232.5,172.42681095892152
419,RRGB,2016-07-29,1224764.3,640807.3200000001,170.16662126742835
418,RRGB,2016-08-01,1242445.5,645326.6,170.68178858315156
417,RRGB,2016-08-02,1220235.25,645858.28,166.96111059481885
416,RRGB,2016-08-03,1203641.27,615153.76,169.04208169579562
415,RRGB,2016-08-04,1184871.39,613292.88,167.6375068542203
414,RRGB,2016-08-05,1242929.57,609305.28,169.98314620155054
413,RRGB,2016-08-08,1189427.88,634161.3200000001,171.23940853592464
412,RRGB,2016-08-09,1205402.52,598140.0,172.47455775371049
411,RRGB,2016-08-10,1172013.56,685867.2000000001,170.73527134043937
410,RRGB,2016-08-11,1205850.1,688392.6799999999,170.48083915254645
409,RRGB,2016-08-12,1244926.49,688392.6799999999,173.4253624739307
408,RRGB,2016-08-15,1245459.96,688392.6799999999,166.49448223430898
407,RRGB,2016-08-16,1246300.4,687993.9199999999,162.90004037756114
406,RRGB,2016-08-17,1235633.39,685069.6799999999,161.5069642143258
405,RRGB,2016-08-18,1237514.06,674569.0,153.05073593046313
404,RRGB,2016-08-19,1244953.01,661542.8400000001,152.33411215374446
403,RRGB,2016-08-22,1233102.71,664334.1599999999,151.68264458253321
402,RRGB,2016-08-23,1240061.07,674701.9199999999,153.3176995774057
