Rating,Number Of Ratings,Address
4.4/5,732 ratings,"280 S Coast Hwy, Laguna Beach, CA 92651, USA"
Nashville Hot Crispy Chicken Sandwich,$12.25,Crispy Chicken Sandwiches,Crispy fried chicken | Nashville hot sauce | dill pickles | ranch | toasted parker house bun | served with fries.
BJ's Classic Chicken Sandwich,$11.95,Crispy Chicken Sandwiches,Crispy fried chicken | honey mustard | lettuce | tomato | dill pickles | toasted parker house bun | served with fries.
Classic Prime Rib Dip,$15.25,Sandwiches and Tacos,"Sliced, slow-roasted prime rib | hoagie roll | au jus | creamy horseradish served on the side | served with fries (cal. 1270)."
Enlightened Mediterranean Chicken Pita Tacos,$10.95,Sandwiches and Tacos,Seasoned grilled chicken | crunchy cucumber | tomatoes | red onions | feta cheese | cilantro | red wine vinaigrette | Greek yogurt crema | chargrilled pita | seasonal bistro grains on the side (cal. 670).
Enlightened Shrimp and Arugula Pita Tacos,$11.50,Sandwiches and Tacos,Broiled shrimp | tomatoes | arugula | parmesan cheese | cilantro lime vinaigrette | chargrilled pita | seasonal bistro grains on the side (cal. 790).
Mahi-Mahi or Shrimp Tacos,$11.50,Sandwiches and Tacos,"Chipotle mayonnaise | santa fe dressing | napa cabbage | carrots | red onions | cilantro | avocado ranch | fire-roasted tomato salsa | tortilla chips
Choice of two tacos: Flame-Broiled Mahi-Mahi | Lightly Fried Mahi-Mahi | Cajun Shrimp (cal. 640-770)."
California Chicken Club,$12.75,Sandwiches and Tacos,Grilled chicken | applewood smoked bacon | avocado | melted Swiss cheese | lettuce | tomatoes | roasted garlic aioli | grilled sourdough bread (cal. 1280).
"6"" Deep Dish Pizza",$5.95,Kid's Menu,"Choice of 6"" cheese or pepperoni pizza | choice of kids' drink."
Chicken Tenders,$6.25,Kid's Menu,Fried chicken tenders | served with ranch.
Mac 'N' Cheese,$6.25,Kid's Menu,Hot and tasty kraft™ macaroni & cheese.
Mini Corn Dogs,$6.25,Kid's Menu,Mini corn dogs.
Grilled Cheese,$6.25,Kid's Menu,Grilled sourdough | melted cheddar cheese.
Kids' Burger,$6.25,Kid's Menu,"Burger with lettuce, tomatoes, and pickles. Served with your choice of kids' side and drink."
Spaghetti,$6.25,Kid's Menu,Spaghetti | choice of sauce.
Big Kids' Grilled Chicken,$6.25,Kid's Menu,Grilled chicken | rice pilaf | steamed veggies | choice of kids' drink.
Big Kids' Grilled Chicken Alfredo,$6.25,Kid's Menu,"Herb-roasted, grilled chicken | fettuccini | creamy alfredo | steamed broccoli | parmesan cheese | garlic parmesan knot | choice of kids' drink."
Kid's Mini Pizookies,$2.75,Kid's Menu,A warm cookie topped with ice cream. Your choice of: chocolate chunk | white chocolate macadamia nut | cookies 'n' cream | peanut butter | salted caramel | triple chocolate | gluten - free chocolate chip.
Kid's Sundae,$1.95,Kid's Menu,Scoop of rich vanilla bean ice cream | chocolate syrup | whipped cream | cherry on top.
BJ's Peanut Butter S'mores,$7.50,World-Famous Pizookies®,Premium flavors. Ghirardelli® triple chocolate cookie | peanut butter | marshmallow fluff | marshmallows | rich vanilla bean ice cream | available in regular size only. (cal. 1580).
